doc_id,text
1,Excellent performance and a crisp UI. Best smartphone I've ever owned.
2,"Would not recommend it!!! The battery life is terrible, very disappointing. Horrible customer service so I'll never recommend going for this phone."
3,The customer service has been unhelpful in resolving issues with the phone. Horrible customer service so I'll never recommend going for this phone.
4,"Would not recommend it!!! The battery life is terrible, very disappointing. Not worth the price, very underwhelming product."
5,"Excellent performance and a crisp UI. I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant."
6,I've been experiencing constant lag and performance issues with this phone. Horrible customer service so I'll never recommend going for this phone.
7,"Would not recommend it!!! The battery life is terrible, very disappointing. Satisfied with the purchase, good value for money."
8,"Great features in this budget fone but poor camera quality. I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant."
9,Best smartphone I've ever owned. Excellent performance and a crisp UI.
10,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Horrible customer service so I'll never recommend going for this phone."
11,Horrible customer service so I'll never recommend going for this phone. Excellent performance and a crisp UI.
12,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Best smartphone I've ever owned."
13,"The battery doesn�t last long, even with minimal usage throughout the day.The customer service has been unhelpful in resolving issues with the phone.?????"
14,"Terrible design, phone's very uncomfortable to hold. Horrible customer service so I'll never recommend going for this phone."
15,Superb display and fast processing speed. Best smartphone I've ever owned.
16,"Not worth the price, very underwhelming product. Superb display and fast processing speed."
17,Great features in this budget fone but poor camera quality. Horrible customer service so I'll never recommend going for this phone.
18,"Horrible customer service so I'll never recommend going for this phone. Terrible design, phone's very uncomfortable to hold."
19,Best smartphone I've ever owned. Horrible customer service so I'll never recommend going for this phone.
20,"Excellent performance and a crisp UI. Satisfied with the purchase, good value for money."
21,"Not worth the price, very underwhelming product. Terrible design, phone's very uncomfortable to hold. "
22,"Terrible design, phone's very uncomfortable to hold. Terrible design, phone's very uncomfortable to hold."
23,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Great features in this budget fone but poor camera quality."
24,"Terrible design, phone's very uncomfortable to hold. Superb display and fast processing speed."
25,Great features in this budget fone but poor camera quality. Superb display and fast processing speed.
26,"Satisfied with the purchase, good value for money. Best smartphone I've ever owned."
27,"Terrible design, phone's very uncomfortable to hold. Would not recommend it!!! The battery life is terrible, very disappointing."
28,"Horrible customer service so I'll never recommend going for this phone. Satisfied with the purchase, good value for money."
29,"Terrible design, phone's very uncomfortable to hold. Horrible customer service so I'll never recommend going for this phone."
30,"Horrible customer service so I'll never recommend going for this phone. I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant."
31,"Would not recommend it!!! The battery life is terrible, very disappointing. Not worth the price, very underwhelming product."
32,"Horrible customer service so I'll never recommend going for this phone. Would not recommend it!!! The battery life is terrible, very disappointing."
33,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Would not recommend it!!! The battery life is terrible, very disappointing."
34,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Terrible design, phone's very uncomfortable to hold."
35,Excellent performance and a crisp UI. Best smartphone I've ever owned.
36,"Best smartphone I've ever owned. Not worth the price, very underwhelming product."
37,"Would not recommend it!!! The battery life is terrible, very disappointing. Excellent performance and a crisp UI."
38,Superb display and fast processing speed. Excellent performance and a crisp UI.
39,Superb display and fast processing speed. Excellent performance and a crisp UI.
40,"Terrible design, phone's very uncomfortable to hold. Satisfied with the purchase, good value for money."
41,"Great features in this budget fone but poor camera quality. Terrible design, phone's very uncomfortable to hold."
42,"Would not recommend it!!! The battery life is terrible, very disappointing. Not worth the price, very underwhelming product."
43,"Would not recommend it!!! The battery life is terrible, very disappointing. Not worth the price, very underwhelming product."
44,"Great features in this budget fone but poor camera quality. I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant."
45,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant."
46,"Excellent performance and a crisp UI. Terrible design, phone's very uncomfortable to hold."
47,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Excellent performance and a crisp UI."
48,"Best smartphone I've ever owned. Terrible design, phone's very uncomfortable to hold."
49,"Not worth the price, very underwhelming product. Best smartphone I've ever owned."
50,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Satisfied with the purchase, good value for money."
51,"Would not recommend it!!! The battery life is terrible, very disappointing. Horrible customer service so I'll never recommend going for this phone."
52,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Terrible design, phone's very uncomfortable to hold."
53,Excellent performance and a crisp UI. Horrible customer service so I'll never recommend going for this phone.
54,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Superb display and fast processing speed."
55,"Would not recommend it!!! The battery life is terrible, very disappointing. Not worth the price, very underwhelming product."
56,"Satisfied with the purchase, good value for money. I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant."
57,"Satisfied with the purchase, good value for money. Great features in this budget fone but poor camera quality."
58,"Not worth the price, very underwhelming product. Satisfied with the purchase, good value for money."
59,"Horrible customer service so I'll never recommend going for this phone. Not worth the price, very underwhelming product."
60,"Terrible design, phone's very uncomfortable to hold. Satisfied with the purchase, good value for money."
61,"Not worth the price, very underwhelming product. Would not recommend it!!! The battery life is terrible, very disappointing."
62,"Satisfied with the purchase, good value for money. Satisfied with the purchase, good value for money."
63,"Terrible design, phone's very uncomfortable to hold. Great features in this budget fone but poor camera quality."
64,"Excellent performance and a crisp UI. Satisfied with the purchase, good value for money."
65,"Horrible customer service so I'll never recommend going for this phone. I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant."
66,"Not worth the price, very underwhelming product. Best smartphone I've ever owned."
67,"Superb display and fast processing speed. Terrible design, phone's very uncomfortable to hold."
68,"Horrible customer service so I'll never recommend going for this phone. Not worth the price, very underwhelming product."
69,"Excellent performance and a crisp UI. Satisfied with the purchase, good value for money."
70,"Best smartphone I've ever owned. I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant."
71,"Great features in this budget fone but poor camera quality. Not worth the price, very underwhelming product."
72,"Not worth the price, very underwhelming product. Excellent performance and a crisp UI."
73,"Horrible customer service so I'll never recommend going for this phone. Not worth the price, very underwhelming product."
74,Superb display and fast processing speed. Best smartphone I've ever owned.
75,"Horrible customer service so I'll never recommend going for this phone. I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant."
76,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Excellent performance and a crisp UI."
77,"Excellent performance and a crisp UI. Not worth the price, very underwhelming product."
78,"Terrible design, phone's very uncomfortable to hold. I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant."
79,Excellent performance and a crisp UI. Great features in this budget fone but poor camera quality.
80,"Horrible customer service so I'll never recommend going for this phone. Would not recommend it!!! The battery life is terrible, very disappointing."
81,Excellent performance and a crisp UI. Best smartphone I've ever owned.
82,"Terrible design, phone's very uncomfortable to hold. Horrible customer service so I'll never recommend going for this phone."
83,"Satisfied with the purchase, good value for money. Excellent performance and a crisp UI."
84,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Horrible customer service so I'll never recommend going for this phone."
85,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Excellent performance and a crisp UI."
86,"Satisfied with the purchase, good value for money. Not worth the price, very underwhelming product."
87,Horrible customer service so I'll never recommend going for this phone. Horrible customer service so I'll never recommend going for this phone.
88,Horrible customer service so I'll never recommend going for this phone. Best smartphone I've ever owned.
89,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Terrible design, phone's very uncomfortable to hold."
90,Great features in this budget fone but poor camera quality. Excellent performance and a crisp UI.
91,Excellent performance and a crisp UI. Great features in this budget fone but poor camera quality.
92,Excellent performance and a crisp UI. Great features in this budget fone but poor camera quality.
93,Excellent performance and a crisp UI. Best smartphone I've ever owned.
94,"I love my new smartphone, it's shiny and amazing! 😍📱 The design is sleek and the display is simply brilliant. Best smartphone I've ever owned."
95,Excellent performance and a crisp UI. Horrible customer service so I'll never recommend going for this phone.
96,"Satisfied with the purchase, good value for money. Terrible design, phone's very uncomfortable to hold."
97,Superb display and fast processing speed. Great features in this budget fone but poor camera quality.
